date, pm10
2021/11/20, 24
2021/11/21, 17
2021/11/22, 10
2021/11/23, 31
2021/11/24, 33
2021/11/25, 31
2021/11/26, 15
2021/11/27, 13
2021/11/28, 16
2021/11/29, 31
2021/11/30, 27
2021/12/1, 20
2021/12/2, 
2021/12/3, 
2021/12/4, 
2021/12/5, 
2021/12/6, 
2021/12/7, 
2021/12/8, 
2021/12/9, 
2021/12/10, 
2021/12/11, 
2021/12/12, 
2021/12/13, 
2021/12/14, 
2021/12/15, 
2021/12/16, 
2021/12/17, 
2021/12/18, 
2021/12/19, 
2021/12/20, 
2021/12/21, 45
2021/12/22, 42
2021/12/23, 32
2021/12/24, 41
2021/12/25, 23
2021/12/26, 27
2021/12/27, 35
2021/12/28, 22
2021/12/29, 39
2021/12/30, 49
2021/12/31, 21
2022/1/1, 21
2022/1/2, 35
2021/7/1, 49
2021/7/2, 61
2021/7/3, 68
2021/7/4, 65
2021/7/5, 53
2021/7/6, 62
2021/7/7, 71
2021/7/8, 66
2021/7/9, 55
2021/7/10, 49
2021/7/11, 44
2021/7/12, 63
2021/7/13, 37
2021/7/14, 88
2021/7/15, 72
2021/7/16, 57
2021/7/17, 71
2021/7/18, 72
2021/7/19, 
2021/7/20, 
2021/7/21, 
2021/7/22, 
2021/7/23, 
2021/7/24, 
2021/7/25, 68
2021/7/26, 
2021/7/27, 
2021/7/28, 
2021/7/29, 68
2021/7/30, 
2021/7/31, 37
2021/8/1, 33
2021/8/2, 
2021/8/3, 37
2021/8/4, 51
2021/8/5, 46
2021/8/6, 54
2021/8/7, 55
2021/8/8, 46
2021/8/9, 33
2021/8/10, 54
2021/8/11, 51
2021/8/12, 65
2021/8/13, 68
2021/8/14, 49
2021/8/15, 53
2021/8/16, 57
2021/8/17, 53
2021/8/18, 58
2021/8/19, 52
2021/8/20, 47
2021/8/21, 53
2021/8/22, 55
2021/8/23, 64
2021/8/24, 51
2021/8/25, 52
2021/8/26, 61
2021/8/27, 66
2021/8/28, 64
2021/8/29, 71
2021/8/30, 58
2021/8/31, 58
2021/9/1, 55
2021/9/2, 55
2021/9/3, 48
2021/9/4, 56
2021/9/5, 54
2021/9/6, 41
2021/9/7, 46
2021/9/8, 43
2021/9/9, 47
2021/9/10, 55
2021/9/11, 43
2021/9/12, 36
2021/9/13, 32
2021/9/14, 39
2021/9/15, 35
2021/9/16, 37
2021/9/17, 45
2021/9/18, 45
2021/9/19, 43
2021/9/20, 52
2021/9/21, 45
2021/9/22, 49
2021/9/23, 43
2021/9/24, 44
2021/9/25, 39
2021/9/26, 43
2021/9/27, 37
2021/9/28, 47
2021/9/29, 56
2021/9/30, 51
2021/4/1, 29
2021/4/2, 20
2021/4/3, 41
2021/4/4, 46
2021/4/5, 22
2021/4/6, 21
2021/4/7, 34
2021/4/8, 31
2021/4/9, 27
2021/4/10, 45
2021/4/11, 46
2021/4/12, 40
2021/4/13, 45
2021/4/14, 46
2021/4/15, 48
2021/4/16, 51
2021/4/17, 47
2021/4/18, 49
2021/4/19, 49
2021/4/20, 54
2021/4/21, 47
2021/4/22, 64
2021/4/23, 59
2021/4/24, 48
2021/4/25, 50
2021/4/26, 55
2021/4/27, 42
2021/4/28, 51
2021/4/29, 
2021/4/30, 
2021/5/1, 
2021/5/2, 44
2021/5/3, 44
2021/5/4, 44
2021/5/5, 37
2021/5/6, 48
2021/5/7, 40
2021/5/8, 24
2021/5/9, 47
2021/5/10, 55
2021/5/11, 57
2021/5/12, 55
2021/5/13, 41
2021/5/14, 40
2021/5/15, 39
2021/5/16, 34
2021/5/17, 25
2021/5/18, 42
2021/5/19, 49
2021/5/20, 49
2021/5/21, 50
2021/5/22, 59
2021/5/23, 81
2021/5/24, 37
2021/5/25, 55
2021/5/26, 46
2021/5/27, 56
2021/5/28, 39
2021/5/29, 46
2021/5/30, 44
2021/5/31, 58
2021/6/1, 51
2021/6/2, 58
2021/6/3, 60
2021/6/4, 51
2021/6/5, 47
2021/6/6, 51
2021/6/7, 53
2021/6/8, 67
2021/6/9, 61
2021/6/10, 50
2021/6/11, 57
2021/6/12, 45
2021/6/13, 65
2021/6/14, 45
2021/6/15, 76
2021/6/16, 67
2021/6/17, 60
2021/6/18, 65
2021/6/19, 76
2021/6/20, 88
2021/6/21, 31
2021/6/22, 63
2021/6/23, 60
2021/6/24, 63
2021/6/25, 45
2021/6/26, 55
2021/6/27, 
2021/6/28, 57
2021/6/29, 60
2021/6/30, 49
2021/1/4, 34
2021/1/5, 29
2021/1/6, 23
2021/1/7, 33
2021/1/8, 35
2021/1/9, 25
2021/1/10, 31
2021/1/11, 30
2021/1/12, 30
2021/1/13, 27
2021/1/14, 36
2021/1/15, 62
2021/1/16, 48
2021/1/17, 27
2021/1/18, 36
2021/1/19, 33
2021/1/20, 38
2021/1/21, 37
2021/1/22, 59
2021/1/23, 28
2021/1/24, 56
